Names;GoodFact;BadFact;
Google;"Google was originally named BackRub.";"In 2017, Google was filed a lawsuit and ended up paying $13 million in a Street View privacy case.";
MSI;"MSI Stands for Micro-Star International and was 2010 one of the 3 biggest motherboard and GPU manufacturer!";"According to someone on the internet, No, MSI is not a good laptop. Sure it has a great graphics card and sure it has a great cooling system along with many other great features, but it fails in the most important category: reliability. I bought an MSI laptop for school because I had heard great things about the brand, but the laptop literally never worked. From the day I got it, it couldn’t watch videos, and that was just the beginning of my problems. After I had the computer for about 6 weeks, it started losing performance and crashing frequently to the point that I couldn’t run Microsoft Office or even transfer files onto a usb without without it freezing for 5 minutes and then crashing. I took it into Geek Squad twice and they couldn’t really do anything to help. I asked Best Buy online for a refund, but they wouldn’t give me one because the computer was too old and MSI wouldn’t refund the laptop either for reasons that I don’t really understand. It got so bad that I couldn’t use the laptop, so I went into Best Buy and they replaced it with the same make and model, but then that one was faulty as well. They refunded me again and I bought an ASUS with the money, a laptop which I have had no issues with for about a month now. The bottom line is that MSI is not reliable and I strongly suggest buying another brand.";
Microsoft;"According to the creator of this version of the game, Bill Gates is the coolest 'MF' on the planet.";"In the early 2000s, Microsoft was filed an anti-trust lawsuit, due to illigally maintaining it's monopoly on the PC market.";
Saab;"Saab's home town is Linköping! The finest city in sweden, some say.";"Saab was in the 1980 smuggling, illigally, weapons into India, selling them with a greedy strategy, bribing.";
Veoneer;"Veoneer has the best IT personnel in the business.";"The Veoneer stock was once valued 50 Euro, today its.. Not.";
Blizzard;"Blizzard was founded on February 8, 1991, under the name Silicon & Synapse.";"Blizzard CEO J. Allen Brack once replied a fan questioning if Classic WoW was going to be released in the near future with; You think you do (want to play it), but you don't. Something he would regret in 2020 when the game doubled the subscriber count for the game.";
OnePlus;"Rooting the One Plus phones does not void their warranty unlike other manufacturers.";"OnePlus consistently uses fake 'success theater' tactics to create the impression of wild success. The original sin of the company is to require invitations and artificial scarcity to make OnePlus phones hard to get. But they also did this by outright lying about sales, telling customers in India: 'Thanks for making OnePlus 5 the highest-grossing phone ever.'";
Cisco;"'Cisco' is short for 'San Francisco'";"Cisco has been criticized for its involvement in censorship in the People's Republic of China. According to author Ethan Gutmann, Cisco and other telecommunications equipment providers supplied the Chinese government with surveillance and Internet infrastructure equipment that is used to block Internet websites and track online activities in China.";
SolarWinds;"Impossible to find something funny about this company tbh.";"SolarWinds are somewhat known in the tech sector to not developing new features for its platform. Instead focusing on just keeping up with its already limited suite of products.";
Autoliv;"Autoliv has probably made the seatbelt in your car!";"Noting bad to say about a company that saves many lives every hour of the day.";
Valve;"Valve was created by two Microsoft millionaires!";"Half life 3 will probably never launch. There, I said it.";
Android;"Android is better then IOS.";"Android used to be very hard to manage in the early smartphone days.";
Redhat;"Red Hat got its name from founder Marc Ewing who wore a red Cornell University lacrosse hat, given to him by his grandfather, while attending Carnegie Mellon University.";"What can you say about a guy naming a company after his hat.";
Tesla;"Tesla has released a Model S, 3, and X, and will eventually release a Model Y SUV. If you didn't figure it out already, that spells 'SEXY.'";"On June 4, 2017, the American Automobile Association raised insurance rates for Tesla owners following a report from the Highway Loss Data Institute. The report concluded that the Model S crashes 46% more often and is 50% more expensive to repair than comparable vehicles.";
Spotify;"PowerShell has a Module named PS-Spotify, the module allows the user to search for Albums, songs and artists via PowerShell.";"Spotify has since its launch in 2008, always been criticized over artist compensation.";
Amazon;"Amazon has made CEO Jeff Bezos the world’s richest man, with a net worth topping out at around $125 billion. As a result of such enormous wealth, Jeff Bezos can buy practically anything he wants. For instance, he recently invested a mere $42 million worth of pocket change into a project to build a mechanical clock that will tell the time for the next 10,000 years. Who needs a Rolex when you can build yourself one of these!";"Theres so much bad to say about amazon that it has a whole wiki page about it: https://en.wikipedia.org/wiki/Criticism_of_Amazon";
